JobTitle,Company,Location,Salary,PostDate,DateRetrieved,Summary,JobUrl
Sr. Machine Learning Engineer,Amazon.com Services LLC,"New York, NY",,1 day ago,2020-11-21,"Coursework or thesis in machine learning, data mining, information retrieval, or natural language processing.
Bachelor or Master's Degree in Computer Science or…",https://www.indeed.com/rc/clk?jk=411ce5a9416b43f8&fccid=fe2d21eef233e94a&vjs=3
DSI Instructor Lead,General Assembly,"New York, NY",,30+ days ago,2020-11-21,"2+ years of professional data science experience.
You have a deep understanding of statistical hypothesis testing and experimental design, data visualization…",https://www.indeed.com/rc/clk?jk=b7db9e2e5cbf360a&fccid=a4cd0efa7775ecd2&vjs=3
Solutions Director (Artificial Intelligence/Machine Learning),ePlus inc.,"New York, NY",,9 days ago,2020-11-21,"Perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social media data sources or mash ups of new and existing data…",https://www.indeed.com/company/ePlus-inc./jobs/Solution-Director-85a771948334e623?fccid=c02acc025c0a07fd&vjs=3
Senior Statistician - Innovative Biopharma - USA,Warman O'Brien,United States,"$75,688 - $149,805 a year",30+ days ago,2020-11-21,"Concentrate on late phase submissions and covering all aspects of clinical analysis.
They are looking for a Lead Statistician to provide insights into Epilepsy…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bw-rRrlDr6nrfscfj_vVoPM6Iu_8zo-cqs0II8k4Z4L09_w1iGTUNqHrVHx9MkiUV_IsLFR8NlSuMDmZTh5NC5vvVSlgkgD0mggtDnE_DV9nnCvJn8LhbhJel5BhhNqNYNgH81uMwwUqZLmCgDjdRgvl9A_0V3Z6iagkTOuDFY-azselB4IjqxCJPASgNznhofplAEbBRFnpPcT7qtfXuXKCrJKLtzKkCPEbBfpNOS9C0AEKj3GfyM9WCiTM0gxGufJpXyEdYKHKH-rJSGhH_5edh0ih_Rg6Vk-b4cGKsigCJRqpsAuKOZmEp8rbdxb9YwUyZAqSJSRIMyDLck-06ol8PdoD9_RVgOkc1oa8SvwsHOoBDov6QgTWROAxxfU_PR6ZxfZ1M5KLwSegZDox9cNefFlXo0Bznk_A42tjVOjOYNhSS7KCFa2ime7kL8XyENlpkor-zvmIGOsIxST9VdkwJpWnTk41oVrBy6JlVOrbx-BfLbnEeiVQlFN3ef0jE=&p=3&fvj=1&vjs=3
Marketing Automation Specialist/Marketo Data Steward (Contract to Hire),Neo4j,"New York, NY",,23 days ago,2020-11-21,They will be responsible for assuring quality and trust in the data and maintaining consistent use of data resources across the organization.,https://www.indeed.com/rc/clk?jk=29eb42e9ba3f76e9&fccid=22802a3c9cf9578d&vjs=3
CSAT Machine Learning and Forecast Solution Architect,"Amazon Web Services, Inc.","New York, NY",,26 days ago,2020-11-21,"Work with customers’ data science & development teams along with business stakeholders to understand their optimization needs.
This is a customer facing role.",https://www.indeed.com/rc/clk?jk=902153450bc2dc26&fccid=fe2d21eef233e94a&vjs=3
Staff Machine Learning Engineer,Urbint,New York State,,30+ days ago,2020-11-21,"Familiarity modeling with spatial data.
8+ years of experience in data science/machine learning roles.
Explore Data - Understand and identify preliminary…",https://www.indeed.com/rc/clk?jk=dcf65c6157bb3dbf&fccid=880c5736f444fdfd&vjs=3
Senior Statistician - Oncology (Ref: PY),PHASTAR,"New York, NY",,15 days ago,2020-11-21,"Experience of working with CDISC data standards and various statistical modelling techniques.
Manipulate, summarise and analyse clinical trial data using a…",https://www.indeed.com/company/Phastar/jobs/Senior-Statistician-4da0857177cb0452?fccid=6c4c1b43a0cb41ab&vjs=3
Senior Backend/Data Engineer,Vic.ai,New York State,,30+ days ago,2020-11-21,"Our AI eats large amounts of data.
You will own the data pipelines that feed and interact with our AI models!
You know a great data pipeline from a standard one…",https://www.indeed.com/rc/clk?jk=23384df5ddbbcab1&fccid=7c3da355b67ba366&vjs=3
Senior Research Scientist Specializing in Machine Learning,Ayata,"New York, NY",,16 days ago,2020-11-21,"Document data dictionary, data understanding, modeling strategy and approaches, and build company’s knowledge base of data and models.",https://www.indeed.com/rc/clk?jk=6dff83077e57b822&fccid=640102364ce22fda&vjs=3
Sr. Conversational AI Engineer,Rain,"Manhattan, NY",,30+ days ago,2020-11-21,"Understanding of data models and an understanding for how data should be modeled for performance.
You will serve as a key member of the leadership team to set…",https://www.indeed.com/rc/clk?jk=52d810ef9ef46842&fccid=bbd5047e4dcaaaf6&vjs=3
"Software Engineer, Machine Learning - Remote",Postmates,"New York, NY",,18 days ago,2020-11-21,"Analyze experimental and observational data, communicate findings, and facilitate launch decisions.
Explaining complex technical concepts to product managers,…",https://www.indeed.com/rc/clk?jk=3ece84a1497ddd5b&fccid=724434d31cc1a378&vjs=3
